"SVTYPE","depth","Seed","SVLEN_bin","count","concordant","discordant","concordance"
"DEL","40x","seed1","0.05-0.1 kb",4017,3948,69,0.982823002240478
"DEL","40x","seed1","0.1-0.5 kb",12372,12191,181,0.985370190753314
"DEL","40x","seed1","0.5-1 kb",1370,1309,61,0.955474452554745
"DEL","40x","seed1","1-5 kb",1639,1550,89,0.945698596705308
"DEL","40x","seed1","5-10 kb",392,376,16,0.959183673469388
"DEL","40x","seed1",">10 kb",56,53,3,0.946428571428571
"DEL","40x","seed2","0.05-0.1 kb",4015,3948,67,0.983312577833126
"DEL","40x","seed2","0.1-0.5 kb",12403,12226,177,0.98572925905023
"DEL","40x","seed2","0.5-1 kb",1362,1301,61,0.955212922173275
"DEL","40x","seed2","1-5 kb",1628,1554,74,0.954545454545455
"DEL","40x","seed2","5-10 kb",392,380,12,0.969387755102041
"DEL","40x","seed2",">10 kb",56,51,5,0.910714285714286
"DEL","40x","seed3","0.05-0.1 kb",4021,3961,60,0.985078338721711
"DEL","40x","seed3","0.1-0.5 kb",12416,12224,192,0.984536082474227
"DEL","40x","seed3","0.5-1 kb",1363,1306,57,0.958180484225972
"DEL","40x","seed3","1-5 kb",1626,1544,82,0.949569495694957
"DEL","40x","seed3","5-10 kb",389,380,9,0.976863753213368
"DEL","40x","seed3",">10 kb",55,50,5,0.909090909090909
"DUP","40x","seed1","0.1-0.5 kb",1,1,0,1
"DUP","40x","seed1","5-10 kb",2,2,0,1
"DUP","40x","seed1",">10 kb",9,9,0,1
"DUP","40x","seed2","0.1-0.5 kb",1,1,0,1
"DUP","40x","seed2","5-10 kb",2,2,0,1
"DUP","40x","seed2",">10 kb",9,9,0,1
"DUP","40x","seed3","0.1-0.5 kb",1,1,0,1
"DUP","40x","seed3","5-10 kb",2,2,0,1
"DUP","40x","seed3",">10 kb",9,9,0,1
"INS","40x","seed1","0.05-0.1 kb",3711,3650,61,0.983562382107249
"INS","40x","seed1","0.1-0.5 kb",11637,11521,116,0.990031795136204
"INS","40x","seed1","0.5-1 kb",1159,1132,27,0.976704055220017
"INS","40x","seed1","1-5 kb",1343,1265,78,0.941921072226359
"INS","40x","seed1","5-10 kb",433,389,44,0.89838337182448
"INS","40x","seed1",">10 kb",66,48,18,0.727272727272727
"INS","40x","seed2","0.05-0.1 kb",3702,3658,44,0.988114532685035
"INS","40x","seed2","0.1-0.5 kb",11619,11506,113,0.990274550305534
"INS","40x","seed2","0.5-1 kb",1156,1122,34,0.970588235294118
"INS","40x","seed2","1-5 kb",1337,1242,95,0.928945400149589
"INS","40x","seed2","5-10 kb",438,389,49,0.888127853881279
"INS","40x","seed2",">10 kb",72,50,22,0.694444444444444
"INS","40x","seed3","0.05-0.1 kb",3724,3670,54,0.985499462943072
"INS","40x","seed3","0.1-0.5 kb",11632,11509,123,0.989425722145805
"INS","40x","seed3","0.5-1 kb",1157,1117,40,0.96542783059637
"INS","40x","seed3","1-5 kb",1338,1248,90,0.932735426008969
"INS","40x","seed3","5-10 kb",435,384,51,0.882758620689655
"INS","40x","seed3",">10 kb",70,56,14,0.8
"INV","40x","seed1","0.1-0.5 kb",41,40,1,0.975609756097561
"INV","40x","seed1","0.5-1 kb",24,24,0,1
"INV","40x","seed1","1-5 kb",49,47,2,0.959183673469388
"INV","40x","seed1","5-10 kb",4,3,1,0.75
"INV","40x","seed1",">10 kb",6,6,0,1
"INV","40x","seed2","0.1-0.5 kb",42,39,3,0.928571428571429
"INV","40x","seed2","0.5-1 kb",24,23,1,0.958333333333333
"INV","40x","seed2","1-5 kb",51,47,4,0.92156862745098
"INV","40x","seed2","5-10 kb",4,2,2,0.5
"INV","40x","seed2",">10 kb",6,6,0,1
"INV","40x","seed3","0.1-0.5 kb",42,42,0,1
"INV","40x","seed3","0.5-1 kb",23,23,0,1
"INV","40x","seed3","1-5 kb",47,44,3,0.936170212765957
"INV","40x","seed3","5-10 kb",4,2,2,0.5
"INV","40x","seed3",">10 kb",6,6,0,1
"DEL","25x","seed1","0.05-0.1 kb",3950,3843,107,0.972911392405063
"DEL","25x","seed1","0.1-0.5 kb",12247,11971,276,0.977463868702539
"DEL","25x","seed1","0.5-1 kb",1317,1246,71,0.946089597570235
"DEL","25x","seed1","1-5 kb",1574,1475,99,0.93710292249047
"DEL","25x","seed1","5-10 kb",385,373,12,0.968831168831169
"DEL","25x","seed1",">10 kb",53,44,9,0.830188679245283
"DEL","25x","seed2","0.05-0.1 kb",3943,3840,103,0.973877758052245
"DEL","25x","seed2","0.1-0.5 kb",12290,12017,273,0.977786818551668
"DEL","25x","seed2","0.5-1 kb",1321,1262,59,0.955336866010598
"DEL","25x","seed2","1-5 kb",1566,1475,91,0.941890166028097
"DEL","25x","seed2","5-10 kb",384,370,14,0.963541666666667
"DEL","25x","seed2",">10 kb",51,45,6,0.882352941176471
"DEL","25x","seed3","0.05-0.1 kb",3950,3862,88,0.977721518987342
"DEL","25x","seed3","0.1-0.5 kb",12275,11997,278,0.977352342158859
"DEL","25x","seed3","0.5-1 kb",1325,1256,69,0.947924528301887
"DEL","25x","seed3","1-5 kb",1565,1467,98,0.937380191693291
"DEL","25x","seed3","5-10 kb",385,368,17,0.955844155844156
"DEL","25x","seed3",">10 kb",57,52,5,0.912280701754386
"DUP","25x","seed1","0.1-0.5 kb",1,1,0,1
"DUP","25x","seed1","5-10 kb",2,2,0,1
"DUP","25x","seed1",">10 kb",9,9,0,1
"DUP","25x","seed2","5-10 kb",2,1,1,0.5
"DUP","25x","seed2",">10 kb",9,8,1,0.888888888888889
"DUP","25x","seed3","5-10 kb",2,2,0,1
"DUP","25x","seed3",">10 kb",9,9,0,1
"INS","25x","seed1","0.05-0.1 kb",3658,3558,100,0.972662657189721
"INS","25x","seed1","0.1-0.5 kb",11557,11333,224,0.980617807389461
