"SVTYPE","depth","SVLEN_bin","TP","FN","Recall","Depth_numeric"
"DEL","10x","0.05-0.1 kb",11364,2724,0.80664395229983,10
"DEL","10x","0.1-0.5 kb",35560,6023,0.855157155568381,10
"DEL","10x","0.5-1 kb",4023,1419,0.739250275633958,10
"DEL","10x","1-5 kb",4655,2257,0.673466435185185,10
"DEL","10x","5-10 kb",1162,260,0.817158931082982,10
"DEL","10x",">10 kb",168,150,0.528301886792453,10
"DEL","15x","0.05-0.1 kb",11995,2093,0.851433844406587,15
"DEL","15x","0.1-0.5 kb",37118,4465,0.892624389774668,15
"DEL","15x","0.5-1 kb",4279,1163,0.786291804483646,15
"DEL","15x","1-5 kb",5083,1829,0.735387731481482,15
"DEL","15x","5-10 kb",1228,194,0.863572433192686,15
"DEL","15x",">10 kb",192,126,0.60377358490566,15
"DEL","25x","0.05-0.1 kb",12668,1420,0.899204997160704,25
"DEL","25x","0.1-0.5 kb",38738,2845,0.931582617896737,25
"DEL","25x","0.5-1 kb",4630,812,0.850790150679897,25
"DEL","25x","1-5 kb",5622,1290,0.813368055555556,25
"DEL","25x","5-10 kb",1294,128,0.909985935302391,25
"DEL","25x",">10 kb",230,88,0.723270440251572,25
"DEL","40x","0.05-0.1 kb",13103,1107,0.922097114707952,40
"DEL","40x","0.1-0.5 kb",39678,2161,0.948349625947083,40
"DEL","40x","0.5-1 kb",4930,626,0.887329013678906,40
"DEL","40x","1-5 kb",6093,935,0.866960728514513,40
"DEL","40x","5-10 kb",1345,97,0.932732316227462,40
"DEL","40x",">10 kb",256,62,0.805031446540881,40
"DEL","5x","0.05-0.1 kb",8460,5628,0.600511073253833,5
"DEL","5x","0.1-0.5 kb",27236,14347,0.654979198230046,5
"DEL","5x","0.5-1 kb",2758,2684,0.506798970966556,5
"DEL","5x","1-5 kb",3192,3720,0.461805555555556,5
"DEL","5x","5-10 kb",872,550,0.613220815752461,5
"DEL","5x",">10 kb",103,215,0.323899371069182,5
"DEL","6x","0.05-0.1 kb",9375,4713,0.66545996592845,6
"DEL","6x","0.1-0.5 kb",30056,11527,0.722795373109203,6
"DEL","6x","0.5-1 kb",3141,2301,0.577177508269019,6
"DEL","6x","1-5 kb",3623,3289,0.52416087962963,6
"DEL","6x","5-10 kb",968,454,0.680731364275668,6
"DEL","6x",">10 kb",120,198,0.377358490566038,6
"DEL","70x","0.05-0.1 kb",4696,0,1,70
"DEL","70x","0.1-0.5 kb",13861,0,1,70
"DEL","70x","0.5-1 kb",1814,0,1,70
